t,x1,y1,heading1,x2,y2,heading2
0.0,14.0,8.0,4.71238898038469,-7.0,-11.0,0.27000787525406006
1.0,14.0,7.384615384615385,4.71238898038469,-5.554738977694854,-10.6,0.3523912725548501
2.0,14.0,6.76923076923077,4.71238898038469,-4.467016223493955,-10.2,0.7145649866486503
3.0,14.0,6.153846153846154,4.71238898038469,-4.005919814715185,-9.8,2.180849202298869
4.0,14.0,5.538461538461538,4.71238898038469,-4.285518842601942,-9.4,2.743493462198499
5.0,14.0,4.923076923076923,4.71238898038469,-5.236644243122581,-9.0,2.860887262087349
6.0,14.0,4.307692307692308,4.71238898038469,-6.624000299307088,-8.6,2.87769245463933
7.0,14.0,3.6923076923076925,4.71238898038469,-8.104373658054035,-8.2,2.821624037742628
8.0,14.0,3.076923076923077,4.71238898038469,-9.311539728327368,-7.8,2.579690896444668
9.0,14.0,2.4615384615384617,4.71238898038469,-9.946861752186066,-7.4,1.3407137117924817
10.0,14.0,1.8461538461538463,4.71238898038469,-9.853169548885461,-7.0,0.4638836047821997
11.0,14.0,1.2307692307692308,4.71238898038469,-9.053641317786065,-6.6,0.2968704825235579
12.0,14.0,0.6153846153846154,4.71238898038469,-7.746069661494563,-6.199999999999999,0.2619134822415672
13.0,14.0,0.0,3.141592653589793,-6.253930338505436,-5.8,0.2968704825235573
14.0,12.0,0.0,1.5707963267948966,-4.946358682213932,-5.3999999999999995,0.4638836047822006
15.0,12.0,0.6153846153846154,1.5707963267948966,-4.146830451114539,-5.0,1.3407137117924839
16.0,12.0,1.2307692307692308,1.5707963267948966,-4.053138247813934,-4.6,2.579690896444668
17.0,12.0,1.8461538461538463,1.5707963267948966,-4.688460271672634,-4.199999999999999,2.8216240377426276
18.0,12.0,2.4615384615384617,1.5707963267948966,-5.895626341945966,-3.8,2.8776924546393303
19.0,12.0,3.076923076923077,1.5707963267948966,-7.3759997006929146,-3.3999999999999995,2.860887262087349
20.0,12.0,3.6923076923076925,1.5707963267948966,-8.763355756877418,-3.0,0.0
21.0,12.0,4.307692307692308,1.5707963267948966,-2.7633557568774183,-3.0,-0.280705391502444
22.0,12.0,4.923076923076923,1.5707963267948966,-1.3759997006929146,-3.3999999999999995,-0.2639001989504628
23.0,12.0,5.538461538461538,1.5707963267948966,0.1043736580540342,-3.8,-0.3199686158471655
24.0,12.0,6.153846153846154,1.5707963267948966,1.3115397283273662,-4.199999999999999,-0.5619017571451241
25.0,12.0,6.76923076923077,1.5707963267948966,1.9468617521860665,-4.6,-1.8008789417973112
26.0,12.0,7.384615384615385,1.5707963267948966,1.853169548885461,-5.0,-2.6777090488075928
27.0,12.0,8.0,3.141592653589793,1.0536413177860684,-5.3999999999999995,-2.844722171066236
28.0,10.0,8.0,4.71238898038469,-0.25393033850543567,-5.8,-2.8796791713482257
