t,x1,y1,heading1,x2,y2,heading2
0.0,8.0,8.0,-1.5707963267948966,-7.0,-11.0,0.9708196651611225
1.0,8.0,6.0,-1.5707963267948966,-6.2181685175319705,-9.857142857142858,1.4034177379222834
2.0,8.0,4.0,-1.5707963267948966,-6.0250720878181765,-8.714285714285715,2.012949549643949
3.0,8.0,2.0,-1.5707963267948966,-6.566116260882441,-7.571428571428571,2.2202207220928862
4.0,8.0,0.0,-3.141592653589793,-7.433883739117557,-6.428571428571429,2.0129495496439493
5.0,6.0,0.0,-4.71238898038469,-7.974927912181822,-5.2857142857142865,1.4034177379222859
6.0,6.0,2.0,-4.71238898038469,-7.78183148246803,-4.142857142857143,0.9708196651611234
7.0,6.0,4.0,-4.71238898038469,-7.000000000000002,-3.0,0.0
8.0,6.0,6.0,-4.71238898038469,-1.0000000000000018,-3.0,-2.17077298842867
9.0,6.0,8.0,-3.141592653589793,-1.7818314824680304,-4.142857142857143,-1.7381749156675075
10.0,4.0,8.0,-1.5707963267948966,-1.9749279121818217,-5.2857142857142865,-1.1286431039458438
11.0,4.0,6.0,-1.5707963267948966,-1.4338837391175572,-6.428571428571429,-0.9213719314969069
12.0,4.0,4.0,-1.5707963267948966,-0.566116260882441,-7.571428571428571,-1.1286431039458444
13.0,4.0,2.0,-1.5707963267948966,-0.02507208781817649,-8.714285714285715,-1.73817491566751
14.0,4.0,0.0,-3.141592653589793,-0.21816851753197053,-9.857142857142858,-2.170772988428671
15.0,2.0,0.0,-4.71238898038469,-1.0,-11.0,0.0
16.0,2.0,2.0,-4.71238898038469,5.0,-11.0,0.970819665161122
17.0,2.0,4.0,-4.71238898038469,5.78183148246803,-9.857142857142858,1.4034177379222834
18.0,2.0,6.0,-4.71238898038469,5.974927912181824,-8.714285714285715,2.0129495496439502
19.0,2.0,8.0,-3.141592653589793,5.433883739117558,-7.571428571428571,2.2202207220928853
20.0,0.0,8.0,-1.5707963267948966,4.566116260882444,-6.428571428571429,2.0129495496439507
21.0,0.0,6.0,-1.5707963267948966,4.025072087818177,-5.2857142857142865,1.403417737922285
22.0,0.0,4.0,-1.5707963267948966,4.21816851753197,-4.142857142857143,0.9708196651611234
23.0,0.0,2.0,-1.5707963267948966,4.999999999999998,-3.0,0.9708196651611234
24.0,0.0,0.0,-1.5707963267948966,4.999999999999998,-3.0,0.9708196651611234
