t,x1,y1,heading1,az1,el1,x2,y2,heading2,az2,el2,dist
25,1.0,0.0,1.8563956589394233,-44.44444444444444,16.666666666666686,-4.2181685175319705,-3.857142857142857,1.4034177379222834,-150.0,-80.0,6.4889778623270065
26,1.0,0.0,1.8563956589394233,-44.44444444444444,50.0,-4.2181685175319705,-3.857142857142857,1.4034177379222834,-150.0,-40.0,6.4889778623270065
27,1.0,0.0,1.8563956589394233,-44.44444444444444,83.33333333333334,-4.2181685175319705,-3.857142857142857,1.4034177379222834,-150.0,0.0,6.4889778623270065
28,1.0,0.0,1.8563956589394233,-44.44444444444444,116.66666666666669,-4.2181685175319705,-3.857142857142857,1.4034177379222834,-150.0,40.0,6.4889778623270065
29,1.0,0.0,1.8563956589394233,-44.44444444444444,150.0,-4.2181685175319705,-3.857142857142857,1.4034177379222834,-150.0,80.0,6.4889778623270065
30,1.0,0.0,1.8563956589394233,-26.666666666666664,-150.0,-4.2181685175319705,-3.857142857142857,1.4034177379222834,-75.0,-80.0,6.4889778623270065
31,1.0,0.0,1.8563956589394233,-26.666666666666664,-116.66666666666666,-4.2181685175319705,-3.857142857142857,1.4034177379222834,-75.0,-40.0,6.4889778623270065
32,1.0,0.0,1.8563956589394233,-26.666666666666664,-83.33333333333333,-4.2181685175319705,-3.857142857142857,1.4034177379222834,-75.0,0.0,6.4889778623270065
33,1.0,0.0,1.8563956589394233,-26.666666666666664,-50.0,-4.2181685175319705,-3.857142857142857,1.4034177379222834,-75.0,40.0,6.4889778623270065
34,1.0,0.0,1.8563956589394233,-26.666666666666664,-16.666666666666657,-4.2181685175319705,-3.857142857142857,1.4034177379222834,-75.0,80.0,6.4889778623270065
35,1.0,0.0,1.8563956589394233,-26.666666666666664,16.666666666666686,-4.2181685175319705,-3.857142857142857,1.4034177379222834,0.0,-80.0,6.4889778623270065
36,1.0,0.0,1.8563956589394233,-26.666666666666664,50.0,-4.2181685175319705,-3.857142857142857,1.4034177379222834,0.0,-40.0,6.4889778623270065
37,1.0,0.0,1.8563956589394233,-26.666666666666664,83.33333333333334,-4.2181685175319705,-3.857142857142857,1.4034177379222834,0.0,0.0,6.4889778623270065
38,1.0,0.0,1.8563956589394233,-26.666666666666664,116.66666666666669,-4.2181685175319705,-3.857142857142857,1.4034177379222834,0.0,40.0,6.4889778623270065
39,1.0,0.0,1.8563956589394233,-26.666666666666664,150.0,-4.2181685175319705,-3.857142857142857,1.4034177379222834,0.0,80.0,6.4889778623270065
40,1.0,0.0,1.8563956589394233,-8.888888888888886,-150.0,-4.2181685175319705,-3.857142857142857,1.4034177379222834,75.0,-80.0,6.4889778623270065
41,1.0,0.0,1.8563956589394233,-8.888888888888886,-116.66666666666666,-4.2181685175319705,-3.857142857142857,1.4034177379222834,75.0,-40.0,6.4889778623270065
42,1.0,0.0,1.8563956589394233,-8.888888888888886,-83.33333333333333,-4.2181685175319705,-3.857142857142857,1.4034177379222834,75.0,0.0,6.4889778623270065
43,1.0,0.0,1.8563956589394233,-8.888888888888886,-50.0,-4.2181685175319705,-3.857142857142857,1.4034177379222834,75.0,40.0,6.4889778623270065
44,1.0,0.0,1.8563956589394233,-8.888888888888886,-16.666666666666657,-4.2181685175319705,-3.857142857142857,1.4034177379222834,75.0,80.0,6.4889778623270065
45,1.0,0.0,1.8563956589394233,-8.888888888888886,16.666666666666686,-4.2181685175319705,-3.857142857142857,1.4034177379222834,150.0,-80.0,6.4889778623270065
46,1.0,0.0,1.8563956589394233,-8.888888888888886,50.0,-4.2181685175319705,-3.857142857142857,1.4034177379222834,150.0,-40.0,6.4889778623270065
47,1.0,0.0,1.8563956589394233,-8.888888888888886,83.33333333333334,-4.2181685175319705,-3.857142857142857,1.4034177379222834,150.0,0.0,6.4889778623270065
48,1.0,0.0,1.8563956589394233,-8.888888888888886,116.66666666666669,-4.2181685175319705,-3.857142857142857,1.4034177379222834,150.0,40.0,6.4889778623270065
49,1.0,0.0,1.8563956589394233,-8.888888888888886,150.0,-4.2181685175319705,-3.857142857142857,1.4034177379222834,150.0,80.0,6.4889778623270065
50,1.0,0.0,1.8563956589394233,8.888888888888886,-150.0,-4.0250720878181765,-2.7142857142857144,2.0129495496439493,-150.0,-80.0,5.711278002911856
51,1.0,0.0,1.8563956589394233,8.888888888888886,-116.66666666666666,-4.0250720878181765,-2.7142857142857144,2.0129495496439493,-150.0,-40.0,5.711278002911856
