t,x1,y1,heading1,az1,el1,x2,y2,heading2,az2,el2,dist
0,8.0,8.0,4.71238898038469,-150.0,-80.0,-7.0,-11.0,0.9708196651611225,-150.0,-80.0,24.20743687382041
1,8.0,8.0,4.71238898038469,-150.0,-40.0,-7.0,-11.0,0.9708196651611225,-150.0,-40.0,24.20743687382041
2,8.0,8.0,4.71238898038469,-150.0,0.0,-7.0,-11.0,0.9708196651611225,-150.0,0.0,24.20743687382041
3,8.0,8.0,4.71238898038469,-150.0,40.0,-7.0,-11.0,0.9708196651611225,-150.0,40.0,24.20743687382041
4,8.0,8.0,4.71238898038469,-150.0,80.0,-7.0,-11.0,0.9708196651611225,-150.0,80.0,24.20743687382041
5,8.0,8.0,4.71238898038469,-75.0,-80.0,-7.0,-11.0,0.9708196651611225,-75.0,-80.0,24.20743687382041
6,8.0,8.0,4.71238898038469,-75.0,-40.0,-7.0,-11.0,0.9708196651611225,-75.0,-40.0,24.20743687382041
7,8.0,8.0,4.71238898038469,-75.0,0.0,-7.0,-11.0,0.9708196651611225,-75.0,0.0,24.20743687382041
8,8.0,8.0,4.71238898038469,-75.0,40.0,-7.0,-11.0,0.9708196651611225,-75.0,40.0,24.20743687382041
9,8.0,8.0,4.71238898038469,-75.0,80.0,-7.0,-11.0,0.9708196651611225,-75.0,80.0,24.20743687382041
10,8.0,8.0,4.71238898038469,0.0,-80.0,-7.0,-11.0,0.9708196651611225,0.0,-80.0,24.20743687382041
11,8.0,8.0,4.71238898038469,0.0,-40.0,-7.0,-11.0,0.9708196651611225,0.0,-40.0,24.20743687382041
12,8.0,8.0,4.71238898038469,0.0,0.0,-7.0,-11.0,0.9708196651611225,0.0,0.0,24.20743687382041
13,8.0,8.0,4.71238898038469,0.0,40.0,-7.0,-11.0,0.9708196651611225,0.0,40.0,24.20743687382041
14,8.0,8.0,4.71238898038469,0.0,80.0,-7.0,-11.0,0.9708196651611225,0.0,80.0,24.20743687382041
