t,x1,y1,heading1,az1,el1,x2,y2,heading2,az2,el2,dist
16,1.0,0.0,1.8563956589394233,-62.22222222222222,50.0,0.0,0.0,6.283185307179586,40.0,-75.0,1.0
17,1.0,0.0,1.8563956589394233,-62.22222222222222,83.33333333333334,0.0,0.0,6.283185307179586,40.0,0.0,1.0
18,1.0,0.0,1.8563956589394233,-62.22222222222222,116.66666666666669,0.0,0.0,6.283185307179586,40.0,75.0,1.0
19,1.0,0.0,1.8563956589394233,-62.22222222222222,150.0,0.0,0.0,6.283185307179586,40.0,150.0,1.0
20,1.0,0.0,1.8563956589394233,-44.44444444444444,-150.0,0.0,0.0,6.283185307179586,80.0,-150.0,1.0
21,1.0,0.0,1.8563956589394233,-44.44444444444444,-116.66666666666666,0.0,0.0,6.283185307179586,80.0,-75.0,1.0
22,1.0,0.0,1.8563956589394233,-44.44444444444444,-83.33333333333333,0.0,0.0,6.283185307179586,80.0,0.0,1.0
23,1.0,0.0,1.8563956589394233,-44.44444444444444,-50.0,0.0,0.0,6.283185307179586,80.0,75.0,1.0
24,1.0,0.0,1.8563956589394233,-44.44444444444444,-16.666666666666657,0.0,0.0,6.283185307179586,80.0,150.0,1.0
25,1.0,0.0,1.8563956589394233,-44.44444444444444,16.666666666666686,0.0,0.0,6.283185307179586,80.0,150.0,1.0
26,1.0,0.0,1.8563956589394233,-44.44444444444444,50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
27,1.0,0.0,1.8563956589394233,-44.44444444444444,83.33333333333334,0.0,0.0,6.283185307179586,80.0,150.0,1.0
28,1.0,0.0,1.8563956589394233,-44.44444444444444,116.66666666666669,0.0,0.0,6.283185307179586,80.0,150.0,1.0
29,1.0,0.0,1.8563956589394233,-44.44444444444444,150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
30,1.0,0.0,1.8563956589394233,-26.666666666666664,-150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
31,1.0,0.0,1.8563956589394233,-26.666666666666664,-116.66666666666666,0.0,0.0,6.283185307179586,80.0,150.0,1.0
32,1.0,0.0,1.8563956589394233,-26.666666666666664,-83.33333333333333,0.0,0.0,6.283185307179586,80.0,150.0,1.0
33,1.0,0.0,1.8563956589394233,-26.666666666666664,-50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
34,1.0,0.0,1.8563956589394233,-26.666666666666664,-16.666666666666657,0.0,0.0,6.283185307179586,80.0,150.0,1.0
35,1.0,0.0,1.8563956589394233,-26.666666666666664,16.666666666666686,0.0,0.0,6.283185307179586,80.0,150.0,1.0
36,1.0,0.0,1.8563956589394233,-26.666666666666664,50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
37,1.0,0.0,1.8563956589394233,-26.666666666666664,83.33333333333334,0.0,0.0,6.283185307179586,80.0,150.0,1.0
38,1.0,0.0,1.8563956589394233,-26.666666666666664,116.66666666666669,0.0,0.0,6.283185307179586,80.0,150.0,1.0
39,1.0,0.0,1.8563956589394233,-26.666666666666664,150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
40,1.0,0.0,1.8563956589394233,-8.888888888888886,-150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
41,1.0,0.0,1.8563956589394233,-8.888888888888886,-116.66666666666666,0.0,0.0,6.283185307179586,80.0,150.0,1.0
42,1.0,0.0,1.8563956589394233,-8.888888888888886,-83.33333333333333,0.0,0.0,6.283185307179586,80.0,150.0,1.0
43,1.0,0.0,1.8563956589394233,-8.888888888888886,-50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
44,1.0,0.0,1.8563956589394233,-8.888888888888886,-16.666666666666657,0.0,0.0,6.283185307179586,80.0,150.0,1.0
45,1.0,0.0,1.8563956589394233,-8.888888888888886,16.666666666666686,0.0,0.0,6.283185307179586,80.0,150.0,1.0
46,1.0,0.0,1.8563956589394233,-8.888888888888886,50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
47,1.0,0.0,1.8563956589394233,-8.888888888888886,83.33333333333334,0.0,0.0,6.283185307179586,80.0,150.0,1.0
48,1.0,0.0,1.8563956589394233,-8.888888888888886,116.66666666666669,0.0,0.0,6.283185307179586,80.0,150.0,1.0
49,1.0,0.0,1.8563956589394233,-8.888888888888886,150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
50,1.0,0.0,1.8563956589394233,8.888888888888886,-150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
51,1.0,0.0,1.8563956589394233,8.888888888888886,-116.66666666666666,0.0,0.0,6.283185307179586,80.0,150.0,1.0
52,1.0,0.0,1.8563956589394233,8.888888888888886,-83.33333333333333,0.0,0.0,6.283185307179586,80.0,150.0,1.0
53,1.0,0.0,1.8563956589394233,8.888888888888886,-50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
54,1.0,0.0,1.8563956589394233,8.888888888888886,-16.666666666666657,0.0,0.0,6.283185307179586,80.0,150.0,1.0
55,1.0,0.0,1.8563956589394233,8.888888888888886,16.666666666666686,0.0,0.0,6.283185307179586,80.0,150.0,1.0
56,1.0,0.0,1.8563956589394233,8.888888888888886,50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
